today's program	26
telling us	26
staff blog	26
sometimes people	26
religious life	26
really wanted	26
really struck	26
people now	26
never going	26
never 1st	26
many americans	26
make things	26
long enough	26
live audience	26
jody abramson	26
holy spirit	26
great question	26
go home	26
feeling like	26
every person	26
early 20th	26
dalai lama	26
christian tradition	26
black people	26
big part	26
asked looking	26
asked another	26
anybody else	26
also listen	26
young woman	25
united nations	25
think many	25
thank god	25
somewhere else	25
says something	25
said earlier	25
recent book	25
really kind	25
really going	25
place like	25
passion community	25
now know	25
nancy rosenbaum	25
might think	25
like us	25
leading people	25
know exactly	25
jesus christ	25
interesting things	25
hard work	25
hard time	25
early years	25
civil society	25
childhood quite	25
bit like	25
big question	25
big difference	25
bad thing	25
another kind	25
also true	25
also really	25
week's show	24
started thinking	24
started reading	24
start talking	24
somebody like	24
religious experience	24
really leading	24
really interested	24
per se	24
people see	24
people really	24
people living	24
people live	24
passion people	24
novel years	24
new things	24
never leading	24
months ago	24
last years	24
higher ground	24
good example	24
god created	24
every human	24
ever seen	24
evangelical christianity	24
divinity school	24
decades ago	24
church years	24
better place	24
barack obama	24
awful lot	24
attention questions	24
asking questions	24
way things	23
wall street	23
vast majority	23
tremendous amount	23
think differently	23
send us	23
really great	23
pursued thing	23
poor people	23
people use	23
one example	23
loring park	23
last night	23
last century	23
inner life	23
great things	23
good people	23
go together	23
even now	23
asked told	23
asked see	23
anyone else	23
always thought	23
always attention	23
also written	23
also saying	23
also part	23
also like	23
almost every	23
allow us	23
acutely aware	23
18th century	23
young children	22
white people	22
well known	22
think even	22
thing called	22
theological seminary	22
spiritual sensibility	22
slightly different	22
several books	22
really see	22
really bad	22
people thing	22
people often	22
passed away	22
newsletter link	22
moral issues	22
loved ones	22
left behind	22
leading together	22
leading better	22
latin america	22
interesting question	22
heads something	22
go wrong	22
gay undercuts	22
first step	22
first came	22
feel good	22
even think	22
entire unedited	22
coming together	22
certain kind	22
asked simply	22
asked give	22
always think	22
almost always	22
12 years	22
within us	21
vietnam war	21
unexpected think	21
unexpected feel	21
totally different	21
sunday school	21
seemed like	21
see something	21
saturday morning	21
religious community	21
really love	21
really big	21
questions like	21
previous programs	21
pretty something	21
north america	21
next step	21
never forget	21
much easier	21
moment ago	21
might look	21
making sense	21
looking forward	21
little girl	21
good way	21
good enough	21
good druids	21
go ahead	21
early life	21
different forms	21
christian church	21
bring us	21
big thing	21
beautiful thing	21
asked started	21
asked seems	21
young big	20
whole time	20
whole different	20
us feel	20
three weeks	20
terrible thing	20
take seriously	20
take away	20
supreme adjust	20
something wrong	20
remember thinking	20
religious faith	20
really thought	20
really mean	20
really iraq's	20
really beautiful	20
real life	20
one ivakhiv	20
now call	20
new life	20
much larger	20
much attention	20
might find	20
man named	20
making sure	20
made sense	20
looking around	20
lead us	20
last begun	20
good person	20
good idea	20
every moment	20
even today	20
evangelical christians	20
entire conversation	20
different places	20
deeply religious	20
consulting editor	20
cold war	20
certain druids	20
big questions	20
basketball sense	20
asked come	20
always start	20
also hear	20
years since	19
whole body	19
vice president	19
two ways	19
two sides	19
today exploring	19
three days	19
think back	19
things together	19
spiritual traditions	19
spiritual discipline	19
spend time	19
someone else's	19
side say	19
september 11	19
seem like	19
religious sensibility	19
religious right	19
reinhold niebuhr	19
recent decades	19
really trying	19
really talking	19
really make	19
