unique words	median word length	english percent	full text path	original path
1236	6	0.9595469	8/8c2df61c.txt	https://onbeing.org/programs/christian-wiman-a-call-to-doubt-and-faith-and-remembering-god
1541	7	0.953926	9/99a0b92c.txt	https://onbeing.org/programs/chuck-colson-greg-boyd-and-shane-claiborne-how-to-be-a-christian-citizen-three-evangelicals-debate-feb2017
1024	6	0.9550781	2/2e2314d9.txt	https://onbeing.org/programs/craig-minowa-music-and-the-ritual-of-performance
1406	7	0.94736844	9/9d047dad.txt	https://onbeing.org/programs/columba-stewart-and-getatchew-haile-preserving-words-and-worlds
1428	7	0.9460784	a/ae0d4a74.txt	https://onbeing.org/programs/coleen-rowley-and-tim-mcguire-work-and-conscience
1139	7	0.9666374	9/9bd8fadc.txt	https://onbeing.org/programs/dan-and-sue-hanson-room-for-j-one-familys-struggle-with-schizophrenia
1374	7	0.93886465	1/1ba34373.txt	https://onbeing.org/programs/danah-boyd-the-internet-of-the-good-the-bad-and-the-ugly-jul2017
1400	6	0.9392857	f/f2dc53a8.txt	https://onbeing.org/programs/dan-barber-driven-by-flavor
1227	6	0.9568052	a/aae27976.txt	https://onbeing.org/programs/dario-robleto-sculptor-of-memory
1457	7	0.945779	d/dd3fc070.txt	https://onbeing.org/programs/darius-rejali-the-long-shadow-of-torture
1279	7	0.94917905	f/fe7afa94.txt	https://onbeing.org/programs/david-blankenhorn-and-jonathan-rauch-the-future-of-marriage
1511	7	0.9450695	7/776d91a8.txt	https://onbeing.org/programs/david-brooks-e-j-dionne-sinfulness-hopefulness-and-the-possibility-of-politics
1448	6	0.9482044	1/1e03406d.txt	https://onbeing.org/programs/david-fox-and-bruce-weigl-sacrifice-and-reconciliation
1514	7	0.92338175	3/3667468e.txt	https://onbeing.org/programs/david-brooks-and-e-j-dionne-obamas-theologian-reinhold-niebuhr-and-the-american-present
1255	7	0.94262946	a/a48e08c3.txt	https://onbeing.org/programs/david-gushee-frances-kissling-pro-life-pro-choice-pro-dialogue-2
1173	6	0.9394714	3/3d200b27.txt	https://onbeing.org/programs/david-hilfiker-seeing-poverty-after-katrina
1084	6	0.94464946	e/e71471e6.txt	https://onbeing.org/programs/david-hartman-hope-in-a-hopeless-god
